Time,Date,Temperature('C),Moisture(%),Crop Name,Season,Air Temp,Air Moisture,Sunlight Duration,Sunrise,Sunset
15:45,08/12/2025,25,63,Bajri,Winter,26.7,68%,10:57:00,07:05:00,18:02:00
19:02,08/12/2025,19,70,Bajri,Winter,25,68%,10:57:00,07:05:00,18:02:00
10:00,09/12/2025,23,72,Bajri,Winter,25,66%,10:57:00,07:05:00,18:02:00
18:45,09/12/2025,21,65,Bajri,Winter,26,65%,10:57:00,07:05:00,18:02:00
09:00,10/12/2025,25,69,Bajri,Winter,25,67%,10:58:00,07:05:00,18:03:00
18:02,10/12/2025,30,66,Bajri,Winter,24,60%,10:58:00,07:05:00,18:03:00
10:20,11/12/2025,34,71,Bajri,Winter,25,62%,10:58:00,07:05:00,18:03:00
06:10,11/12/2025,34,74,Bajri,Winter,27,57%,10:58:00,07:05:00,18:03:00
13:10,12/12/2025,29,76,Bajri,Winter,26.5,58%,10:59:00,07:04:00,18:03:00
19:15,12/12/2025,26,77,Bajri,Winter,30,55%,10:59:00,07:04:00,18:03:00
13:45,13/12/2025,28,81,Bajri,Winter,29,54%,10:59:00,07:04:00,18:03:00
18:22,13/12/2025,27.27,77,Bajri,Winter,31,57%,10:59:00,07:04:00,18:03:00
11:28,14/12/2025,29.75,71,Bajri,Winter,28.4,58%,10:59:00,07:04:00,18:03:00
17:57,14/12/2025,27.16,60,Bajri,Winter,28,60%,10:59:00,07:04:00,18:03:00
11:15,15/12/2025,31.27,71,Bajri,Winter,29,49%,11:00:00,07:04:00,18:04:00
18:27,15/12/2025,28.5,68,Bajri,Winter,28,51%,11:00:00,07:04:00,18:04:00
10:09,16/12/2025,31,60,Bajri,Winter,29,47%,11:00:00,07:04:00,18:04:00
17:45,16/12/2025,24,59,Bajri,Winter,30,55%,11:00:00,07:04:00,18:04:00
12:30,17/12/2025,27,50,Bajri,Winter,26,39%,11:00:00,07:05:00,18:05:00
19:45,17/12/2025,22,62,Bajri,Winter,20,58%,11:00:00,07:05:00,18:05:00
13:15,18/12/2025,29,46,Bajri,Winter,28,35%,10:59:00,07:06:00,18:05:00
19:30,18/12/2025,20,68,Bajri,Winter,18,64%,10:59:00,07:06:00,18:05:00
8:19,19/12/2025,20,75.6,Bajri,Winter,21.2,78%,10:57:00,7:07:00,18:04:00
20:10,19/12/2025,24.6,65.3,Bajri,Winter,22.9,62%,10:57:00,7:07:00,18:04:00
9:14,20/12/2025,19.4,74.2,Bajri,Winter,18,75%,10:57:12,7:07:24,18:04:36
20:48,20/12/2025,24.6,56.7,Bajri,Winter,26,61%,10:57:12,7:07:24,18:04:36
10:32,21/12/2025,17.5,75.7,Bajri,Winter,18.2,79%,10:57:24,7:07:48,18:05:12
21:44,21/12/2025,27.6,56.1,Bajri,Winter,26.2,51%,10:57:24,7:07:48,18:05:12
9:12,22/12/2025,17.6,79.4,Bajri,Winter,17.6,81%,10:57:36,7:08:12,18:05:48
18:08,22/12/2025,27.6,61.5,Bajri,Winter,27.5,63%,10:57:36,7:08:12,18:05:48
10:52,23/12/2025,19.4,83.3,Bajri,Winter,20.5,85%,10:57:48,7:08:36,18:06:24
21:42,23/12/2025,28.7,62.4,Bajri,Winter,28.4,62%,10:57:48,7:08:36,18:06:24
10:39,24/12/2025,17.6,75,Bajri,Winter,17.9,79%,10:58:00,7:09:00,18:07:00
20:49,24/12/2025,25.8,55.1,Bajri,Winter,25.1,54%,10:58:00,7:09:00,18:07:00
8:55,25/12/2025,17.2,82.1,Bajri,Winter,16.7,79%,10:58:12,7:09:24,18:07:36
21:51,25/12/2025,28.1,52.4,Bajri,Winter,29.1,58%,10:58:12,7:09:24,18:07:36
8:05,26/12/2025,19.9,82.1,Bajri,Winter,19.6,81%,10:58:24,7:09:48,18:08:12
19:28,26/12/2025,26.6,66.3,Bajri,Winter,27.1,64%,10:58:24,7:09:48,18:08:12
8:57,27/12/2025,19.4,75.9,Bajri,Winter,19.6,78%,10:58:36,7:10:12,18:08:48
20:49,27/12/2025,25.1,59.1,Bajri,Winter,26.4,54%,10:58:36,7:10:12,18:08:48
10:33,28/12/2025,17.2,75.7,Bajri,Winter,16.5,75%,10:58:48,7:10:36,18:09:24
20:27,28/12/2025,25.2,57.6,Bajri,Winter,27.1,57%,10:58:48,7:10:36,18:09:24
8:09,29/12/2025,19.5,81.1,Bajri,Winter,20,82%,10:59:00,7:11:00,18:10:00
18:45,29/12/2025,25.6,63.3,Bajri,Winter,27.3,63%,10:59:00,7:11:00,18:10:00
10:13,30/12/2025,18,80.2,Bajri,Winter,16.8,81%,10:59:12,7:11:24,18:10:36
18:30,30/12/2025,27,54.5,Bajri,Winter,28.6,53%,10:59:12,7:11:24,18:10:36
10:40,31/12/2025,20.1,76.5,Bajri,Winter,19.8,78%,10:59:24,7:11:48,18:11:12
19:21,31/12/2025,27.6,65.3,Bajri,Winter,28.5,63%,10:59:24,7:11:48,18:11:12
9:42,01/01/2026,18.8,76,Bajri,Winter,17.7,75%,10:59:36,7:12:12,18:11:48
18:56,01/01/2026,26.9,54.9,Bajri,Winter,25.7,51%,10:59:36,7:12:12,18:11:48
9:52,02/01/2026,20.7,76.7,Bajri,Winter,21.9,73%,10:59:48,7:12:36,18:12:24
19:53,02/01/2026,26.1,65.7,Bajri,Winter,26.1,67%,10:59:48,7:12:36,18:12:24
9:02,03/01/2026,19.5,77.6,Bajri,Winter,18.4,81%,11:00:00,7:13:00,18:13:00
17:55,03/01/2026,20,75,Bajri,Winter,18.4,77%,11:00:00,7:13:00,18:13:00
