date,time_of_day,hour,temperature,precipitation,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm,temp_max_daily,temp_min_daily,precipitation_sum_daily,sunshine_duration_daily
2025-10-12,morning,6,30.5,0.0,,,,,31.1,20.8,0.0,38894.66
2025-10-12,midday,12,28.9,0.0,,,,,31.1,20.8,0.0,38894.66
2025-10-12,evening,18,25.3,0.0,,,,,31.1,20.8,0.0,38894.66
2025-10-13,morning,6,30.6,0.0,,,,,31.5,19.9,0.0,38833.87
2025-10-13,midday,12,29.0,0.0,,,,,31.5,19.9,0.0,38833.87
2025-10-13,evening,18,24.1,0.0,,,,,31.5,19.9,0.0,38833.87
2025-10-14,morning,6,30.6,0.0,,,,,31.8,20.5,0.0,38238.74
2025-10-14,midday,12,29.5,0.0,,,,,31.8,20.5,0.0,38238.74
2025-10-14,evening,18,25.6,0.0,,,,,31.8,20.5,0.0,38238.74
2025-10-15,morning,6,30.6,0.0,,,,,31.9,20.7,0.0,38522.68
2025-10-15,midday,12,29.0,0.0,,,,,31.9,20.7,0.0,38522.68
2025-10-15,evening,18,24.1,0.0,,,,,31.9,20.7,0.0,38522.68
2025-10-16,morning,6,31.5,0.0,,,,,32.8,21.1,0.0,38230.93
2025-10-16,midday,12,30.0,0.0,,,,,32.8,21.1,0.0,38230.93
2025-10-16,evening,18,24.1,0.0,,,,,32.8,21.1,0.0,38230.93
2025-10-17,morning,6,31.8,0.0,,,,,33.5,21.6,0.0,37802.88
2025-10-17,midday,12,30.0,0.0,,,,,33.5,21.6,0.0,37802.88
2025-10-17,evening,18,25.6,0.0,,,,,33.5,21.6,0.0,37802.88
2025-10-18,morning,6,32.0,0.0,,,,,33.5,22.5,0.0,37224.03
2025-10-18,midday,12,30.4,0.0,,,,,33.5,22.5,0.0,37224.03
2025-10-18,evening,18,26.3,0.0,,,,,33.5,22.5,0.0,37224.03
2025-10-19,morning,6,31.5,0.0,,,,,32.8,23.4,0.0,37052.95
2025-10-19,midday,12,30.1,0.0,,,,,32.8,23.4,0.0,37052.95
2025-10-19,evening,18,25.0,0.0,,,,,32.8,23.4,0.0,37052.95
2025-10-20,morning,6,31.0,0.0,,,,,32.3,21.9,0.0,37430.16
2025-10-20,midday,12,29.9,0.0,,,,,32.3,21.9,0.0,37430.16
2025-10-20,evening,18,24.8,0.0,,,,,32.3,21.9,0.0,37430.16
2025-10-21,morning,6,32.1,0.0,,,,,33.3,22.3,0.0,36986.37
2025-10-21,midday,12,30.2,0.0,,,,,33.3,22.3,0.0,36986.37
2025-10-21,evening,18,26.7,0.0,,,,,33.3,22.3,0.0,36986.37
2025-10-22,morning,6,32.2,0.0,,,,,32.6,24.1,0.0,30211.42
2025-10-22,midday,12,29.4,0.0,,,,,32.6,24.1,0.0,30211.42
2025-10-22,evening,18,26.4,0.0,,,,,32.6,24.1,0.0,30211.42
2025-10-23,morning,6,33.1,0.0,,,,,33.5,23.9,0.0,36788.47
2025-10-23,midday,12,31.4,0.0,,,,,33.5,23.9,0.0,36788.47
2025-10-23,evening,18,25.4,0.0,,,,,33.5,23.9,0.0,36788.47
2025-10-24,morning,6,33.2,0.0,,,,,34.0,23.5,0.0,36877.65
2025-10-24,midday,12,31.0,0.0,,,,,34.0,23.5,0.0,36877.65
2025-10-24,evening,18,25.6,0.0,,,,,34.0,23.5,0.0,36877.65
2025-10-25,morning,6,32.4,0.0,,,,,33.8,23.5,0.0,36581.11
2025-10-25,midday,12,30.2,0.0,,,,,33.8,23.5,0.0,36581.11
2025-10-25,evening,18,26.2,0.0,,,,,33.8,23.5,0.0,36581.11
2025-10-26,morning,6,31.4,0.0,,,,,32.8,22.9,0.0,36544.52
2025-10-26,midday,12,30.1,0.0,,,,,32.8,22.9,0.0,36544.52
2025-10-26,evening,18,26.1,0.0,,,,,32.8,22.9,0.0,36544.52
2025-10-27,morning,6,27.5,0.0,,,,,28.8,21.0,3.0,703.26
2025-10-27,midday,12,25.9,0.1,,,,,28.8,21.0,3.0,703.26
2025-10-27,evening,18,23.9,0.0,,,,,28.8,21.0,3.0,703.26
2025-10-28,morning,6,23.0,0.0,,,,,24.0,20.5,3.2,2010.97
2025-10-28,midday,12,22.0,0.0,,,,,24.0,20.5,3.2,2010.97
2025-10-28,evening,18,21.1,0.0,,,,,24.0,20.5,3.2,2010.97
2025-10-29,morning,6,28.6,0.0,,,,,28.6,20.5,0.0,26265.04
2025-10-29,midday,12,26.5,0.0,,,,,28.6,20.5,0.0,26265.04
2025-10-29,evening,18,24.1,0.0,,,,,28.6,20.5,0.0,26265.04
2025-10-30,morning,6,24.1,0.7,,,,,26.8,20.8,31.1,12748.71
2025-10-30,midday,12,21.1,3.0,,,,,26.8,20.8,31.1,12748.71
2025-10-30,evening,18,21.4,0.2,,,,,26.8,20.8,31.1,12748.71
2025-10-31,morning,6,25.9,0.1,,,,,25.9,21.3,0.6,4685.61
2025-10-31,midday,12,25.0,0.0,,,,,25.9,21.3,0.6,4685.61
2025-10-31,evening,18,23.2,0.0,,,,,25.9,21.3,0.6,4685.61
