Time,Date,Temperature('C),Moisture(%),Crop Name,Season,Air Temp,Air Moisture,Sunlight Duration,Sunrise,Sunset,DateTime,Sunlight Duration (hours),Day,Hour,DayName,TimeOfDay,Week
15:45,08/12/2025,25.0,63.0,Bajri,Winter,26.7,68.0,10:57:00,07:05:00,18:02:00,2025-12-08 15:45:00,10.95,2025-12-08,15,Monday,Afternoon,50
19:02,08/12/2025,19.0,70.0,Bajri,Winter,25.0,68.0,10:57:00,07:05:00,18:02:00,2025-12-08 19:02:00,10.95,2025-12-08,19,Monday,Evening,50
10:00,09/12/2025,23.0,72.0,Bajri,Winter,25.0,66.0,10:57:00,07:05:00,18:02:00,2025-12-09 10:00:00,10.95,2025-12-09,10,Tuesday,Morning,50
18:45,09/12/2025,21.0,65.0,Bajri,Winter,26.0,65.0,10:57:00,07:05:00,18:02:00,2025-12-09 18:45:00,10.95,2025-12-09,18,Tuesday,Afternoon,50
09:00,10/12/2025,25.0,69.0,Bajri,Winter,25.0,67.0,10:58:00,07:05:00,18:03:00,2025-12-10 09:00:00,10.966666666666667,2025-12-10,9,Wednesday,Morning,50
18:02,10/12/2025,30.0,66.0,Bajri,Winter,24.0,60.0,10:58:00,07:05:00,18:03:00,2025-12-10 18:02:00,10.966666666666667,2025-12-10,18,Wednesday,Afternoon,50
10:20,11/12/2025,34.0,71.0,Bajri,Winter,25.0,62.0,10:58:00,07:05:00,18:03:00,2025-12-11 10:20:00,10.966666666666667,2025-12-11,10,Thursday,Morning,50
06:10,11/12/2025,34.0,74.0,Bajri,Winter,27.0,57.0,10:58:00,07:05:00,18:03:00,2025-12-11 06:10:00,10.966666666666667,2025-12-11,6,Thursday,Night,50
13:10,12/12/2025,29.0,76.0,Bajri,Winter,26.5,58.0,10:59:00,07:04:00,18:03:00,2025-12-12 13:10:00,10.983333333333333,2025-12-12,13,Friday,Afternoon,50
19:15,12/12/2025,26.0,77.0,Bajri,Winter,30.0,55.0,10:59:00,07:04:00,18:03:00,2025-12-12 19:15:00,10.983333333333333,2025-12-12,19,Friday,Evening,50
13:45,13/12/2025,28.0,81.0,Bajri,Winter,29.0,54.0,10:59:00,07:04:00,18:03:00,2025-12-13 13:45:00,10.983333333333333,2025-12-13,13,Saturday,Afternoon,50
18:22,13/12/2025,27.27,77.0,Bajri,Winter,31.0,57.0,10:59:00,07:04:00,18:03:00,2025-12-13 18:22:00,10.983333333333333,2025-12-13,18,Saturday,Afternoon,50
11:28,14/12/2025,29.75,71.0,Bajri,Winter,28.4,58.0,10:59:00,07:04:00,18:03:00,2025-12-14 11:28:00,10.983333333333333,2025-12-14,11,Sunday,Morning,50
17:57,14/12/2025,27.16,60.0,Bajri,Winter,28.0,60.0,10:59:00,07:04:00,18:03:00,2025-12-14 17:57:00,10.983333333333333,2025-12-14,17,Sunday,Afternoon,50
11:15,15/12/2025,31.27,71.0,Bajri,Winter,29.0,49.0,11:00:00,07:04:00,18:04:00,2025-12-15 11:15:00,11.0,2025-12-15,11,Monday,Morning,51
18:27,15/12/2025,28.5,68.0,Bajri,Winter,28.0,51.0,11:00:00,07:04:00,18:04:00,2025-12-15 18:27:00,11.0,2025-12-15,18,Monday,Afternoon,51
10:09,16/12/2025,31.0,60.0,Bajri,Winter,29.0,47.0,11:00:00,07:04:00,18:04:00,2025-12-16 10:09:00,11.0,2025-12-16,10,Tuesday,Morning,51
17:45,16/12/2025,24.0,59.0,Bajri,Winter,30.0,55.0,11:00:00,07:04:00,18:04:00,2025-12-16 17:45:00,11.0,2025-12-16,17,Tuesday,Afternoon,51
12:30,17/12/2025,27.0,50.0,Bajri,Winter,26.0,39.0,11:00:00,07:05:00,18:05:00,2025-12-17 12:30:00,11.0,2025-12-17,12,Wednesday,Morning,51
19:45,17/12/2025,22.0,62.0,Bajri,Winter,20.0,58.0,11:00:00,07:05:00,18:05:00,2025-12-17 19:45:00,11.0,2025-12-17,19,Wednesday,Evening,51
13:15,18/12/2025,29.0,46.0,Bajri,Winter,28.0,35.0,10:59:00,07:06:00,18:05:00,2025-12-18 13:15:00,10.983333333333333,2025-12-18,13,Thursday,Afternoon,51
19:30,18/12/2025,20.0,68.0,Bajri,Winter,18.0,64.0,10:59:00,07:06:00,18:05:00,2025-12-18 19:30:00,10.983333333333333,2025-12-18,19,Thursday,Evening,51
8:19,19/12/2025,20.0,75.6,Bajri,Winter,21.2,78.0,10:57:00,7:07:00,18:04:00,2025-12-19 08:19:00,10.95,2025-12-19,8,Friday,Morning,51
20:10,19/12/2025,24.6,65.3,Bajri,Winter,22.9,62.0,10:57:00,7:07:00,18:04:00,2025-12-19 20:10:00,10.95,2025-12-19,20,Friday,Evening,51
9:14,20/12/2025,19.4,74.2,Bajri,Winter,18.0,75.0,10:57:12,7:07:24,18:04:36,2025-12-20 09:14:00,10.953333333333333,2025-12-20,9,Saturday,Morning,51
20:48,20/12/2025,24.6,56.7,Bajri,Winter,26.0,61.0,10:57:12,7:07:24,18:04:36,2025-12-20 20:48:00,10.953333333333333,2025-12-20,20,Saturday,Evening,51
10:32,21/12/2025,17.5,75.7,Bajri,Winter,18.2,79.0,10:57:24,7:07:48,18:05:12,2025-12-21 10:32:00,10.956666666666667,2025-12-21,10,Sunday,Morning,51
21:44,21/12/2025,27.6,56.1,Bajri,Winter,26.2,51.0,10:57:24,7:07:48,18:05:12,2025-12-21 21:44:00,10.956666666666667,2025-12-21,21,Sunday,Evening,51
9:12,22/12/2025,17.6,79.4,Bajri,Winter,17.6,81.0,10:57:36,7:08:12,18:05:48,2025-12-22 09:12:00,10.96,2025-12-22,9,Monday,Morning,52
18:08,22/12/2025,27.6,61.5,Bajri,Winter,27.5,63.0,10:57:36,7:08:12,18:05:48,2025-12-22 18:08:00,10.96,2025-12-22,18,Monday,Afternoon,52
10:52,23/12/2025,19.4,83.3,Bajri,Winter,20.5,85.0,10:57:48,7:08:36,18:06:24,2025-12-23 10:52:00,10.963333333333333,2025-12-23,10,Tuesday,Morning,52
21:42,23/12/2025,28.7,62.4,Bajri,Winter,28.4,62.0,10:57:48,7:08:36,18:06:24,2025-12-23 21:42:00,10.963333333333333,2025-12-23,21,Tuesday,Evening,52
10:39,24/12/2025,17.6,75.0,Bajri,Winter,17.9,79.0,10:58:00,7:09:00,18:07:00,2025-12-24 10:39:00,10.966666666666667,2025-12-24,10,Wednesday,Morning,52
20:49,24/12/2025,25.8,55.1,Bajri,Winter,25.1,54.0,10:58:00,7:09:00,18:07:00,2025-12-24 20:49:00,10.966666666666667,2025-12-24,20,Wednesday,Evening,52
8:55,25/12/2025,17.2,82.1,Bajri,Winter,16.7,79.0,10:58:12,7:09:24,18:07:36,2025-12-25 08:55:00,10.97,2025-12-25,8,Thursday,Morning,52
21:51,25/12/2025,28.1,52.4,Bajri,Winter,29.1,58.0,10:58:12,7:09:24,18:07:36,2025-12-25 21:51:00,10.97,2025-12-25,21,Thursday,Evening,52
8:05,26/12/2025,19.9,82.1,Bajri,Winter,19.6,81.0,10:58:24,7:09:48,18:08:12,2025-12-26 08:05:00,10.973333333333333,2025-12-26,8,Friday,Morning,52
19:28,26/12/2025,26.6,66.3,Bajri,Winter,27.1,64.0,10:58:24,7:09:48,18:08:12,2025-12-26 19:28:00,10.973333333333333,2025-12-26,19,Friday,Evening,52
8:57,27/12/2025,19.4,75.9,Bajri,Winter,19.6,78.0,10:58:36,7:10:12,18:08:48,2025-12-27 08:57:00,10.976666666666667,2025-12-27,8,Saturday,Morning,52
20:49,27/12/2025,25.1,59.1,Bajri,Winter,26.4,54.0,10:58:36,7:10:12,18:08:48,2025-12-27 20:49:00,10.976666666666667,2025-12-27,20,Saturday,Evening,52
10:33,28/12/2025,17.2,75.7,Bajri,Winter,16.5,75.0,10:58:48,7:10:36,18:09:24,2025-12-28 10:33:00,10.98,2025-12-28,10,Sunday,Morning,52
20:27,28/12/2025,25.2,57.6,Bajri,Winter,27.1,57.0,10:58:48,7:10:36,18:09:24,2025-12-28 20:27:00,10.98,2025-12-28,20,Sunday,Evening,52
8:09,29/12/2025,19.5,81.1,Bajri,Winter,20.0,82.0,10:59:00,7:11:00,18:10:00,2025-12-29 08:09:00,10.983333333333333,2025-12-29,8,Monday,Morning,1
18:45,29/12/2025,25.6,63.3,Bajri,Winter,27.3,63.0,10:59:00,7:11:00,18:10:00,2025-12-29 18:45:00,10.983333333333333,2025-12-29,18,Monday,Afternoon,1
10:13,30/12/2025,18.0,80.2,Bajri,Winter,16.8,81.0,10:59:12,7:11:24,18:10:36,2025-12-30 10:13:00,10.986666666666666,2025-12-30,10,Tuesday,Morning,1
